"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 20 16:56:06 GMT 2023","Tue Jun 20 16:56:46 GMT 2023","39845","Setel Regression Suite","Setel Admin test on chrome","tests.TaskTests","tests.TaskTests","search_task_works_well","Verify search task works well",""
"passed","Tue Jun 20 16:54:32 GMT 2023","Tue Jun 20 16:54:38 GMT 2023","6210","Setel Regression Suite","Setel Admin test on chrome","tests.SpaceTests","tests.SpaceTests","verify_hide_in_my_side_bar_successfully","hide in my side bar",""
"broken","Tue Jun 20 16:53:07 GMT 2023","Tue Jun 20 16:53:22 GMT 2023","14655","Setel Regression Suite","Setel Admin test on chrome","tests.SpaceTests","tests.SpaceTests","verify_content_in_space_setting_correctly","verify content in space setting correctly",""
"passed","Tue Jun 20 16:52:44 GMT 2023","Tue Jun 20 16:52:46 GMT 2023","1417","Setel Regression Suite","Setel Admin test on chrome","tests.SpaceTests","tests.SpaceTests","verify_all_space_displayed_correctly","verify all space displayed correctly",""
"passed","Tue Jun 20 16:55:25 GMT 2023","Tue Jun 20 16:55:45 GMT 2023","19553","Setel Regression Suite","Setel Admin test on chrome","tests.TaskTests","tests.TaskTests","create_task","create task",""
"passed","Tue Jun 20 16:54:57 GMT 2023","Tue Jun 20 16:55:05 GMT 2023","7862","Setel Regression Suite","Setel Admin test on chrome","tests.SpaceTests","tests.SpaceTests","verify_rename_space_function","verify rename space function",""
"passed","Tue Jun 20 16:53:41 GMT 2023","Tue Jun 20 16:53:45 GMT 2023","3743","Setel Regression Suite","Setel Admin test on chrome","tests.SpaceTests","tests.SpaceTests","verify_create_new_space_successfully","verify that create new space successfully",""
"broken","Tue Jun 20 16:50:36 GMT 2023","Tue Jun 20 16:51:13 GMT 2023","36274","Setel Regression Suite","Setel Admin test on chrome","tests.LoginTest","tests.LoginTest","login_to_click_up_successfully","verify login successfully",""
"passed","Tue Jun 20 16:52:15 GMT 2023","Tue Jun 20 16:52:25 GMT 2023","10460","Setel Regression Suite","Setel Admin test on chrome","tests.SpaceTests","tests.SpaceTests","verify_add_to_favorite_list_successfully","add to favorite list",""
"passed","Tue Jun 20 16:57:34 GMT 2023","Tue Jun 20 16:57:50 GMT 2023","16185","Setel Regression Suite","Setel Admin test on chrome","tests.TaskTests","tests.TaskTests","verifyCreateSubtaskFunction","verify create subtask function",""
"passed","Tue Jun 20 16:54:06 GMT 2023","Tue Jun 20 16:54:12 GMT 2023","5165","Setel Regression Suite","Setel Admin test on chrome","tests.SpaceTests","tests.SpaceTests","verify_dialog_when_click_to_new_space","verify dialog when click to new space",""
"passed","Tue Jun 20 16:50:04 GMT 2023","Tue Jun 20 16:50:35 GMT 2023","30553","Setel Regression Suite","Setel Admin test on chrome","tests.FolderTests","tests.FolderTests","verify_create_list_in_folder_successfully","verify create list in folder works",""
"passed","Tue Jun 20 16:51:31 GMT 2023","Tue Jun 20 16:51:56 GMT 2023","24910","Setel Regression Suite","Setel Admin test on chrome","tests.SearchTests","tests.SearchTests","verify_search_feature_works_well","verify that search feature works well",""
"unknown","Tue Jun 20 16:49:06 GMT 2023","Tue Jun 20 16:49:06 GMT 2023","4","Setel Regression Suite","Setel Admin test on chrome","tests.FolderTests","tests.FolderTests","verify_create_docs_in_folder_successfully","verify create docs in folder works",""
"passed","Tue Jun 20 16:49:35 GMT 2023","Tue Jun 20 16:49:43 GMT 2023","7745","Setel Regression Suite","Setel Admin test on chrome","tests.FolderTests","tests.FolderTests","verify_create_folder_function_works","verify create folder function works",""
"passed","Tue Jun 20 16:57:05 GMT 2023","Tue Jun 20 16:57:15 GMT 2023","9882","Setel Regression Suite","Setel Admin test on chrome","tests.TaskTests","tests.TaskTests","sort_by_task_name","Sort by task name",""
