"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 18:08:42 GMT 2024","Tue Aug 27 18:08:45 GMT 2024","2903","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Tue Aug 27 18:08:45 GMT 2024","Tue Aug 27 18:08:45 GMT 2024","325","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Tue Aug 27 18:08:45 GMT 2024","Tue Aug 27 18:08:46 GMT 2024","801","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Tue Aug 27 18:08:45 GMT 2024","Tue Aug 27 18:08:46 GMT 2024","358","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Tue Aug 27 18:08:45 GMT 2024","Tue Aug 27 18:08:47 GMT 2024","1334","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Tue Aug 27 18:08:47 GMT 2024","Tue Aug 27 18:08:50 GMT 2024","2475","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Tue Aug 27 18:08:42 GMT 2024","Tue Aug 27 18:08:45 GMT 2024","2570","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Tue Aug 27 18:08:46 GMT 2024","Tue Aug 27 18:08:46 GMT 2024","332","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Tue Aug 27 18:08:46 GMT 2024","Tue Aug 27 18:08:47 GMT 2024","1166","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Tue Aug 27 18:08:42 GMT 2024","Tue Aug 27 18:08:45 GMT 2024","3085","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
