"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1029","verify that delete space successfully","Setel Regression Suite","Sat Mar 08 18:07:29 GMT 2025","passed","Sat Mar 08 18:07:30 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","3305","verify that create list successfully","Setel Regression Suite","Sat Mar 08 18:07:25 GMT 2025","failed","Sat Mar 08 18:07:29 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","1436","get folder successfully","Setel Regression Suite","Sat Mar 08 18:07:28 GMT 2025","passed","Sat Mar 08 18:07:30 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","413","verify that update list successfully","Setel Regression Suite","Sat Mar 08 18:07:29 GMT 2025","failed","Sat Mar 08 18:07:30 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","1639","verify that update space successfully","Setel Regression Suite","Sat Mar 08 18:07:31 GMT 2025","passed","Sat Mar 08 18:07:33 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","316","verify that get list successfully","Setel Regression Suite","Sat Mar 08 18:07:29 GMT 2025","failed","Sat Mar 08 18:07:29 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","3275","verify that create space successfully","Setel Regression Suite","Sat Mar 08 18:07:25 GMT 2025","passed","Sat Mar 08 18:07:29 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","325","verify that delete list successfully","Setel Regression Suite","Sat Mar 08 18:07:29 GMT 2025","failed","Sat Mar 08 18:07:29 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","2696","verify that delete folder successfully","Setel Regression Suite","Sat Mar 08 18:07:25 GMT 2025","passed","Sat Mar 08 18:07:28 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","1197","verify that get space successfully","Setel Regression Suite","Sat Mar 08 18:07:30 GMT 2025","passed","Sat Mar 08 18:07:31 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
