"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1292","verify that get space successfully","Setel Regression Suite","Tue Mar 11 18:11:03 GMT 2025","passed","Tue Mar 11 18:11:04 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","2712","get folder successfully","Setel Regression Suite","Tue Mar 11 18:11:01 GMT 2025","passed","Tue Mar 11 18:11:04 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","331","verify that get list successfully","Setel Regression Suite","Tue Mar 11 18:11:01 GMT 2025","failed","Tue Mar 11 18:11:01 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","1724","verify that update space successfully","Setel Regression Suite","Tue Mar 11 18:11:04 GMT 2025","passed","Tue Mar 11 18:11:06 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","329","verify that update list successfully","Setel Regression Suite","Tue Mar 11 18:11:01 GMT 2025","failed","Tue Mar 11 18:11:01 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","2690","verify that delete folder successfully","Setel Regression Suite","Tue Mar 11 18:10:58 GMT 2025","passed","Tue Mar 11 18:11:01 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","890","verify that delete space successfully","Setel Regression Suite","Tue Mar 11 18:11:02 GMT 2025","passed","Tue Mar 11 18:11:03 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","2033","verify that create list successfully","Setel Regression Suite","Tue Mar 11 18:10:58 GMT 2025","failed","Tue Mar 11 18:11:00 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","338","verify that delete list successfully","Setel Regression Suite","Tue Mar 11 18:11:00 GMT 2025","failed","Tue Mar 11 18:11:01 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","3406","verify that create space successfully","Setel Regression Suite","Tue Mar 11 18:10:58 GMT 2025","passed","Tue Mar 11 18:11:02 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
