"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 18:02:31 GMT 2023","Thu Jul 20 18:02:34 GMT 2023","3782","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Thu Jul 20 18:02:26 GMT 2023","Thu Jul 20 18:02:29 GMT 2023","3148","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Thu Jul 20 18:02:32 GMT 2023","Thu Jul 20 18:02:33 GMT 2023","1123","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"failed","Thu Jul 20 18:02:31 GMT 2023","Thu Jul 20 18:02:32 GMT 2023","1110","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Thu Jul 20 18:02:26 GMT 2023","Thu Jul 20 18:02:31 GMT 2023","4378","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Thu Jul 20 18:02:34 GMT 2023","Thu Jul 20 18:02:36 GMT 2023","2372","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Thu Jul 20 18:02:36 GMT 2023","Thu Jul 20 18:02:40 GMT 2023","3545","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Thu Jul 20 18:02:30 GMT 2023","Thu Jul 20 18:02:31 GMT 2023","1116","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Thu Jul 20 18:02:26 GMT 2023","Thu Jul 20 18:02:34 GMT 2023","7766","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Thu Jul 20 18:02:40 GMT 2023","Thu Jul 20 18:02:45 GMT 2023","4672","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
