"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 18:07:31 GMT 2024","Tue May 14 18:07:34 GMT 2024","2620","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Tue May 14 18:07:34 GMT 2024","Tue May 14 18:07:37 GMT 2024","3844","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Tue May 14 18:07:25 GMT 2024","Tue May 14 18:07:29 GMT 2024","4443","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Tue May 14 18:07:29 GMT 2024","Tue May 14 18:07:31 GMT 2024","1633","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Tue May 14 18:07:25 GMT 2024","Tue May 14 18:07:28 GMT 2024","3326","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Tue May 14 18:07:28 GMT 2024","Tue May 14 18:07:31 GMT 2024","2678","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Tue May 14 18:07:25 GMT 2024","Tue May 14 18:07:27 GMT 2024","2319","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Tue May 14 18:07:28 GMT 2024","Tue May 14 18:07:29 GMT 2024","702","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Tue May 14 18:07:29 GMT 2024","Tue May 14 18:07:29 GMT 2024","669","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"failed","Tue May 14 18:07:27 GMT 2024","Tue May 14 18:07:28 GMT 2024","702","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
