"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3072","verify that create space successfully","Setel Regression Suite","Tue Jan 28 18:10:12 GMT 2025","passed","Tue Jan 28 18:10:15 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","1409","get folder successfully","Setel Regression Suite","Tue Jan 28 18:10:15 GMT 2025","passed","Tue Jan 28 18:10:16 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","1181","verify that get space successfully","Setel Regression Suite","Tue Jan 28 18:10:17 GMT 2025","passed","Tue Jan 28 18:10:18 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","2022","verify that update space successfully","Setel Regression Suite","Tue Jan 28 18:10:18 GMT 2025","passed","Tue Jan 28 18:10:20 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","350","verify that get list successfully","Setel Regression Suite","Tue Jan 28 18:10:15 GMT 2025","failed","Tue Jan 28 18:10:15 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","308","verify that update list successfully","Setel Regression Suite","Tue Jan 28 18:10:15 GMT 2025","failed","Tue Jan 28 18:10:15 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","1950","verify that create list successfully","Setel Regression Suite","Tue Jan 28 18:10:12 GMT 2025","failed","Tue Jan 28 18:10:14 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","1271","verify that delete space successfully","Setel Regression Suite","Tue Jan 28 18:10:15 GMT 2025","passed","Tue Jan 28 18:10:17 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","2499","verify that delete folder successfully","Setel Regression Suite","Tue Jan 28 18:10:12 GMT 2025","passed","Tue Jan 28 18:10:15 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","357","verify that delete list successfully","Setel Regression Suite","Tue Jan 28 18:10:14 GMT 2025","failed","Tue Jan 28 18:10:15 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
