"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 11 18:07:26 GMT 2024","Mon Mar 11 18:07:28 GMT 2024","1411","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Mon Mar 11 18:07:22 GMT 2024","Mon Mar 11 18:07:24 GMT 2024","1839","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Mon Mar 11 18:07:24 GMT 2024","Mon Mar 11 18:07:25 GMT 2024","1228","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Mon Mar 11 18:07:24 GMT 2024","Mon Mar 11 18:07:25 GMT 2024","814","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Mon Mar 11 18:07:22 GMT 2024","Mon Mar 11 18:07:24 GMT 2024","2815","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Mon Mar 11 18:07:25 GMT 2024","Mon Mar 11 18:07:26 GMT 2024","1102","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Mon Mar 11 18:07:24 GMT 2024","Mon Mar 11 18:07:24 GMT 2024","273","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Mon Mar 11 18:07:24 GMT 2024","Mon Mar 11 18:07:24 GMT 2024","286","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Mon Mar 11 18:07:22 GMT 2024","Mon Mar 11 18:07:24 GMT 2024","2330","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Mon Mar 11 18:07:24 GMT 2024","Mon Mar 11 18:07:24 GMT 2024","266","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
