"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 14 18:01:05 GMT 2023","Tue Nov 14 18:01:07 GMT 2023","2029","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Tue Nov 14 18:01:08 GMT 2023","Tue Nov 14 18:01:08 GMT 2023","130","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Tue Nov 14 18:01:08 GMT 2023","Tue Nov 14 18:01:08 GMT 2023","540","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Tue Nov 14 18:01:07 GMT 2023","Tue Nov 14 18:01:08 GMT 2023","154","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Tue Nov 14 18:01:08 GMT 2023","Tue Nov 14 18:01:09 GMT 2023","749","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Tue Nov 14 18:01:09 GMT 2023","Tue Nov 14 18:01:10 GMT 2023","774","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Tue Nov 14 18:01:05 GMT 2023","Tue Nov 14 18:01:08 GMT 2023","2436","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Tue Nov 14 18:01:08 GMT 2023","Tue Nov 14 18:01:09 GMT 2023","841","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Tue Nov 14 18:01:05 GMT 2023","Tue Nov 14 18:01:08 GMT 2023","2468","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Tue Nov 14 18:01:08 GMT 2023","Tue Nov 14 18:01:08 GMT 2023","115","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
