"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 18:01:19 GMT 2023","Sun Oct 29 18:01:20 GMT 2023","915","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Sun Oct 29 18:01:15 GMT 2023","Sun Oct 29 18:01:18 GMT 2023","2712","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Sun Oct 29 18:01:15 GMT 2023","Sun Oct 29 18:01:18 GMT 2023","3325","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Sun Oct 29 18:01:18 GMT 2023","Sun Oct 29 18:01:18 GMT 2023","406","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sun Oct 29 18:01:15 GMT 2023","Sun Oct 29 18:01:19 GMT 2023","3862","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sun Oct 29 18:01:20 GMT 2023","Sun Oct 29 18:01:23 GMT 2023","2836","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Sun Oct 29 18:01:18 GMT 2023","Sun Oct 29 18:01:18 GMT 2023","370","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sun Oct 29 18:01:23 GMT 2023","Sun Oct 29 18:01:24 GMT 2023","1655","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sun Oct 29 18:01:18 GMT 2023","Sun Oct 29 18:01:20 GMT 2023","1575","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Sun Oct 29 18:01:19 GMT 2023","Sun Oct 29 18:01:19 GMT 2023","369","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
