"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 24 18:09:26 GMT 2024","Tue Sep 24 18:09:26 GMT 2024","330","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Tue Sep 24 18:09:26 GMT 2024","Tue Sep 24 18:09:27 GMT 2024","313","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Tue Sep 24 18:09:27 GMT 2024","Tue Sep 24 18:09:29 GMT 2024","1293","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Tue Sep 24 18:09:27 GMT 2024","Tue Sep 24 18:09:27 GMT 2024","804","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Tue Sep 24 18:09:29 GMT 2024","Tue Sep 24 18:09:30 GMT 2024","1597","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Tue Sep 24 18:09:24 GMT 2024","Tue Sep 24 18:09:26 GMT 2024","2525","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Tue Sep 24 18:09:24 GMT 2024","Tue Sep 24 18:09:26 GMT 2024","2042","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Tue Sep 24 18:09:24 GMT 2024","Tue Sep 24 18:09:27 GMT 2024","3082","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Tue Sep 24 18:09:26 GMT 2024","Tue Sep 24 18:09:26 GMT 2024","328","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Tue Sep 24 18:09:26 GMT 2024","Tue Sep 24 18:09:27 GMT 2024","1354","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
