"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 18:03:20 GMT 2024","Sun Apr 07 18:03:22 GMT 2024","2271","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Sun Apr 07 18:03:13 GMT 2024","Sun Apr 07 18:03:15 GMT 2024","2183","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Sun Apr 07 18:03:15 GMT 2024","Sun Apr 07 18:03:16 GMT 2024","516","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Sun Apr 07 18:03:15 GMT 2024","Sun Apr 07 18:03:15 GMT 2024","567","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sun Apr 07 18:03:15 GMT 2024","Sun Apr 07 18:03:18 GMT 2024","2020","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Sun Apr 07 18:03:18 GMT 2024","Sun Apr 07 18:03:20 GMT 2024","1811","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Sun Apr 07 18:03:13 GMT 2024","Sun Apr 07 18:03:15 GMT 2024","2846","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Sun Apr 07 18:03:16 GMT 2024","Sun Apr 07 18:03:16 GMT 2024","509","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sun Apr 07 18:03:16 GMT 2024","Sun Apr 07 18:03:18 GMT 2024","1283","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Sun Apr 07 18:03:13 GMT 2024","Sun Apr 07 18:03:16 GMT 2024","3811","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
