"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 18:03:03 GMT 2024","Wed Apr 03 18:03:04 GMT 2024","1469","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Wed Apr 03 18:02:59 GMT 2024","Wed Apr 03 18:03:02 GMT 2024","3042","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Wed Apr 03 18:02:59 GMT 2024","Wed Apr 03 18:03:01 GMT 2024","2243","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Wed Apr 03 18:03:04 GMT 2024","Wed Apr 03 18:03:07 GMT 2024","3090","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Wed Apr 03 18:03:07 GMT 2024","Wed Apr 03 18:03:10 GMT 2024","2474","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Wed Apr 03 18:03:02 GMT 2024","Wed Apr 03 18:03:04 GMT 2024","2266","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Wed Apr 03 18:02:59 GMT 2024","Wed Apr 03 18:03:03 GMT 2024","3886","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Wed Apr 03 18:03:02 GMT 2024","Wed Apr 03 18:03:02 GMT 2024","530","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Wed Apr 03 18:03:02 GMT 2024","Wed Apr 03 18:03:03 GMT 2024","552","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"failed","Wed Apr 03 18:03:01 GMT 2024","Wed Apr 03 18:03:02 GMT 2024","628","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
