"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1347","get folder successfully","Setel Regression Suite","Sun Feb 16 18:09:00 GMT 2025","passed","Sun Feb 16 18:09:02 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","1523","verify that update space successfully","Setel Regression Suite","Sun Feb 16 18:09:03 GMT 2025","passed","Sun Feb 16 18:09:04 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","3357","verify that create space successfully","Setel Regression Suite","Sun Feb 16 18:08:57 GMT 2025","passed","Sun Feb 16 18:09:01 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","299","verify that update list successfully","Setel Regression Suite","Sun Feb 16 18:09:00 GMT 2025","failed","Sun Feb 16 18:09:00 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","317","verify that delete list successfully","Setel Regression Suite","Sun Feb 16 18:08:59 GMT 2025","failed","Sun Feb 16 18:09:00 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","886","verify that delete space successfully","Setel Regression Suite","Sun Feb 16 18:09:01 GMT 2025","passed","Sun Feb 16 18:09:02 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","2945","verify that delete folder successfully","Setel Regression Suite","Sun Feb 16 18:08:57 GMT 2025","passed","Sun Feb 16 18:09:00 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","2027","verify that create list successfully","Setel Regression Suite","Sun Feb 16 18:08:57 GMT 2025","failed","Sun Feb 16 18:08:59 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","294","verify that get list successfully","Setel Regression Suite","Sun Feb 16 18:09:00 GMT 2025","failed","Sun Feb 16 18:09:00 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","1135","verify that get space successfully","Setel Regression Suite","Sun Feb 16 18:09:02 GMT 2025","passed","Sun Feb 16 18:09:03 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
