"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 18 18:01:14 GMT 2023","Sat Nov 18 18:01:15 GMT 2023","218","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Sat Nov 18 18:01:15 GMT 2023","Sat Nov 18 18:01:15 GMT 2023","196","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sat Nov 18 18:01:12 GMT 2023","Sat Nov 18 18:01:15 GMT 2023","2318","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sat Nov 18 18:01:15 GMT 2023","Sat Nov 18 18:01:15 GMT 2023","950","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Sat Nov 18 18:01:15 GMT 2023","Sat Nov 18 18:01:15 GMT 2023","584","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Sat Nov 18 18:01:12 GMT 2023","Sat Nov 18 18:01:15 GMT 2023","2571","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sat Nov 18 18:01:15 GMT 2023","Sat Nov 18 18:01:16 GMT 2023","760","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Sat Nov 18 18:01:14 GMT 2023","Sat Nov 18 18:01:14 GMT 2023","219","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sat Nov 18 18:01:16 GMT 2023","Sat Nov 18 18:01:18 GMT 2023","1717","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Sat Nov 18 18:01:12 GMT 2023","Sat Nov 18 18:01:14 GMT 2023","1887","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
