"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 08 18:07:25 GMT 2024","Mon Jan 08 18:07:25 GMT 2024","278","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Mon Jan 08 18:07:25 GMT 2024","Mon Jan 08 18:07:26 GMT 2024","260","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Mon Jan 08 18:07:26 GMT 2024","Mon Jan 08 18:07:27 GMT 2024","1004","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Mon Jan 08 18:07:23 GMT 2024","Mon Jan 08 18:07:26 GMT 2024","2949","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Mon Jan 08 18:07:26 GMT 2024","Mon Jan 08 18:07:26 GMT 2024","265","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Mon Jan 08 18:07:23 GMT 2024","Mon Jan 08 18:07:25 GMT 2024","2592","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Mon Jan 08 18:07:23 GMT 2024","Mon Jan 08 18:07:25 GMT 2024","2150","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Mon Jan 08 18:07:26 GMT 2024","Mon Jan 08 18:07:26 GMT 2024","678","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Mon Jan 08 18:07:27 GMT 2024","Mon Jan 08 18:07:29 GMT 2024","1158","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Mon Jan 08 18:07:25 GMT 2024","Mon Jan 08 18:07:27 GMT 2024","1230","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
