"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 13 18:07:59 GMT 2024","Thu Jun 13 18:07:59 GMT 2024","539","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Thu Jun 13 18:07:58 GMT 2024","Thu Jun 13 18:07:59 GMT 2024","536","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Thu Jun 13 18:08:00 GMT 2024","Thu Jun 13 18:08:02 GMT 2024","1394","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Thu Jun 13 18:07:56 GMT 2024","Thu Jun 13 18:07:59 GMT 2024","3060","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Thu Jun 13 18:07:56 GMT 2024","Thu Jun 13 18:08:00 GMT 2024","4235","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Thu Jun 13 18:07:56 GMT 2024","Thu Jun 13 18:07:58 GMT 2024","2269","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Thu Jun 13 18:07:59 GMT 2024","Thu Jun 13 18:08:00 GMT 2024","582","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Thu Jun 13 18:08:02 GMT 2024","Thu Jun 13 18:08:04 GMT 2024","2017","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Thu Jun 13 18:07:59 GMT 2024","Thu Jun 13 18:08:01 GMT 2024","2136","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Thu Jun 13 18:08:04 GMT 2024","Thu Jun 13 18:08:06 GMT 2024","2479","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
