"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","verify that update list successfully","Setel Regression Suite","Mon Dec 16 18:11:11 GMT 2024","failed","Mon Dec 16 18:11:11 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","343","verify that get list successfully","Setel Regression Suite","Mon Dec 16 18:11:11 GMT 2024","failed","Mon Dec 16 18:11:11 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","2198","verify that create list successfully","Setel Regression Suite","Mon Dec 16 18:11:08 GMT 2024","failed","Mon Dec 16 18:11:10 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","2770","verify that delete folder successfully","Setel Regression Suite","Mon Dec 16 18:11:08 GMT 2024","passed","Mon Dec 16 18:11:11 GMT 2024","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","3601","verify that create space successfully","Setel Regression Suite","Mon Dec 16 18:11:08 GMT 2024","passed","Mon Dec 16 18:11:12 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","1362","verify that get space successfully","Setel Regression Suite","Mon Dec 16 18:11:12 GMT 2024","passed","Mon Dec 16 18:11:14 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","394","verify that delete list successfully","Setel Regression Suite","Mon Dec 16 18:11:10 GMT 2024","failed","Mon Dec 16 18:11:11 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","1493","get folder successfully","Setel Regression Suite","Mon Dec 16 18:11:11 GMT 2024","passed","Mon Dec 16 18:11:12 GMT 2024","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","1661","verify that update space successfully","Setel Regression Suite","Mon Dec 16 18:11:14 GMT 2024","passed","Mon Dec 16 18:11:15 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","846","verify that delete space successfully","Setel Regression Suite","Mon Dec 16 18:11:12 GMT 2024","passed","Mon Dec 16 18:11:12 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
