"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1306","verify that get space successfully","Setel Regression Suite","Sun Mar 09 18:07:42 GMT 2025","passed","Sun Mar 09 18:07:44 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","1580","verify that update space successfully","Setel Regression Suite","Sun Mar 09 18:07:44 GMT 2025","passed","Sun Mar 09 18:07:45 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","306","verify that delete list successfully","Setel Regression Suite","Sun Mar 09 18:07:40 GMT 2025","failed","Sun Mar 09 18:07:40 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","303","verify that get list successfully","Setel Regression Suite","Sun Mar 09 18:07:40 GMT 2025","failed","Sun Mar 09 18:07:41 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","287","verify that update list successfully","Setel Regression Suite","Sun Mar 09 18:07:41 GMT 2025","failed","Sun Mar 09 18:07:41 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","1942","verify that create list successfully","Setel Regression Suite","Sun Mar 09 18:07:38 GMT 2025","failed","Sun Mar 09 18:07:40 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","2974","verify that create space successfully","Setel Regression Suite","Sun Mar 09 18:07:38 GMT 2025","passed","Sun Mar 09 18:07:41 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","1530","get folder successfully","Setel Regression Suite","Sun Mar 09 18:07:41 GMT 2025","passed","Sun Mar 09 18:07:42 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","2484","verify that delete folder successfully","Setel Regression Suite","Sun Mar 09 18:07:38 GMT 2025","passed","Sun Mar 09 18:07:41 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","1057","verify that delete space successfully","Setel Regression Suite","Sun Mar 09 18:07:41 GMT 2025","passed","Sun Mar 09 18:07:42 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
