"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 21 18:01:21 GMT 2023","Fri Jul 21 18:01:24 GMT 2023","3229","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Fri Jul 21 18:01:21 GMT 2023","Fri Jul 21 18:01:25 GMT 2023","4512","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Fri Jul 21 18:01:25 GMT 2023","Fri Jul 21 18:01:26 GMT 2023","1144","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Fri Jul 21 18:01:25 GMT 2023","Fri Jul 21 18:01:30 GMT 2023","4634","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Fri Jul 21 18:01:24 GMT 2023","Fri Jul 21 18:01:25 GMT 2023","1147","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Fri Jul 21 18:01:33 GMT 2023","Fri Jul 21 18:01:38 GMT 2023","4700","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Fri Jul 21 18:01:26 GMT 2023","Fri Jul 21 18:01:27 GMT 2023","1208","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Fri Jul 21 18:01:21 GMT 2023","Fri Jul 21 18:01:27 GMT 2023","6768","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Fri Jul 21 18:01:28 GMT 2023","Fri Jul 21 18:01:30 GMT 2023","2382","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Fri Jul 21 18:01:30 GMT 2023","Fri Jul 21 18:01:33 GMT 2023","3578","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
