"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 08 18:01:59 GMT 2023","Sun Oct 08 18:02:00 GMT 2023","1149","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sun Oct 08 18:02:00 GMT 2023","Sun Oct 08 18:02:04 GMT 2023","3866","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Sun Oct 08 18:02:01 GMT 2023","Sun Oct 08 18:02:02 GMT 2023","1116","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sun Oct 08 18:02:08 GMT 2023","Sun Oct 08 18:02:13 GMT 2023","4724","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sun Oct 08 18:01:55 GMT 2023","Sun Oct 08 18:02:02 GMT 2023","6651","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Sun Oct 08 18:01:55 GMT 2023","Sun Oct 08 18:01:59 GMT 2023","3221","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Sun Oct 08 18:02:02 GMT 2023","Sun Oct 08 18:02:04 GMT 2023","2448","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Sun Oct 08 18:01:55 GMT 2023","Sun Oct 08 18:02:00 GMT 2023","4505","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sun Oct 08 18:02:04 GMT 2023","Sun Oct 08 18:02:08 GMT 2023","3587","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Sun Oct 08 18:02:00 GMT 2023","Sun Oct 08 18:02:01 GMT 2023","1110","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
