"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 18:08:33 GMT 2024","Sat Oct 26 18:08:37 GMT 2024","3591","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sat Oct 26 18:08:38 GMT 2024","Sat Oct 26 18:08:39 GMT 2024","1259","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Sat Oct 26 18:08:36 GMT 2024","Sat Oct 26 18:08:36 GMT 2024","349","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sat Oct 26 18:08:37 GMT 2024","Sat Oct 26 18:08:38 GMT 2024","927","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Sat Oct 26 18:08:33 GMT 2024","Sat Oct 26 18:08:35 GMT 2024","2108","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Sat Oct 26 18:08:35 GMT 2024","Sat Oct 26 18:08:36 GMT 2024","357","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sat Oct 26 18:08:33 GMT 2024","Sat Oct 26 18:08:36 GMT 2024","2599","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sat Oct 26 18:08:39 GMT 2024","Sat Oct 26 18:08:40 GMT 2024","1530","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sat Oct 26 18:08:36 GMT 2024","Sat Oct 26 18:08:37 GMT 2024","1522","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Sat Oct 26 18:08:36 GMT 2024","Sat Oct 26 18:08:36 GMT 2024","340","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
