"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 07 18:07:46 GMT 2024","Tue May 07 18:07:47 GMT 2024","786","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Tue May 07 18:07:46 GMT 2024","Tue May 07 18:07:48 GMT 2024","1842","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Tue May 07 18:07:43 GMT 2024","Tue May 07 18:07:45 GMT 2024","2071","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Tue May 07 18:07:43 GMT 2024","Tue May 07 18:07:48 GMT 2024","4754","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Tue May 07 18:07:46 GMT 2024","Tue May 07 18:07:46 GMT 2024","447","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Tue May 07 18:07:51 GMT 2024","Tue May 07 18:07:53 GMT 2024","2435","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Tue May 07 18:07:48 GMT 2024","Tue May 07 18:07:49 GMT 2024","1135","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Tue May 07 18:07:43 GMT 2024","Tue May 07 18:07:46 GMT 2024","2900","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Tue May 07 18:07:49 GMT 2024","Tue May 07 18:07:51 GMT 2024","1783","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Tue May 07 18:07:45 GMT 2024","Tue May 07 18:07:46 GMT 2024","476","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
