"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 12 18:01:14 GMT 2024","Mon Feb 12 18:01:14 GMT 2024","485","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Mon Feb 12 18:01:14 GMT 2024","Mon Feb 12 18:01:16 GMT 2024","2050","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Mon Feb 12 18:01:15 GMT 2024","Mon Feb 12 18:01:16 GMT 2024","1289","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Mon Feb 12 18:01:11 GMT 2024","Mon Feb 12 18:01:13 GMT 2024","2319","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Mon Feb 12 18:01:11 GMT 2024","Mon Feb 12 18:01:14 GMT 2024","3100","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Mon Feb 12 18:01:15 GMT 2024","Mon Feb 12 18:01:15 GMT 2024","517","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Mon Feb 12 18:01:16 GMT 2024","Mon Feb 12 18:01:18 GMT 2024","1819","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Mon Feb 12 18:01:14 GMT 2024","Mon Feb 12 18:01:15 GMT 2024","515","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Mon Feb 12 18:01:18 GMT 2024","Mon Feb 12 18:01:21 GMT 2024","2451","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Mon Feb 12 18:01:11 GMT 2024","Mon Feb 12 18:01:15 GMT 2024","3954","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
