"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 18:02:38 GMT 2023","Thu Aug 24 18:02:43 GMT 2023","4755","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Thu Aug 24 18:02:28 GMT 2023","Thu Aug 24 18:02:29 GMT 2023","1187","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Thu Aug 24 18:02:34 GMT 2023","Thu Aug 24 18:02:38 GMT 2023","3784","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Thu Aug 24 18:02:24 GMT 2023","Thu Aug 24 18:02:32 GMT 2023","7640","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Thu Aug 24 18:02:31 GMT 2023","Thu Aug 24 18:02:32 GMT 2023","1139","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Thu Aug 24 18:02:32 GMT 2023","Thu Aug 24 18:02:34 GMT 2023","2473","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Thu Aug 24 18:02:29 GMT 2023","Thu Aug 24 18:02:31 GMT 2023","1154","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Thu Aug 24 18:02:30 GMT 2023","Thu Aug 24 18:02:34 GMT 2023","3991","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Thu Aug 24 18:02:24 GMT 2023","Thu Aug 24 18:02:28 GMT 2023","3981","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Thu Aug 24 18:02:24 GMT 2023","Thu Aug 24 18:02:30 GMT 2023","5355","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
