"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 22 18:08:05 GMT 2024","Sun Sep 22 18:08:05 GMT 2024","574","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sun Sep 22 18:08:06 GMT 2024","Sun Sep 22 18:08:07 GMT 2024","1052","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Sun Sep 22 18:08:02 GMT 2024","Sun Sep 22 18:08:05 GMT 2024","2134","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Sun Sep 22 18:08:05 GMT 2024","Sun Sep 22 18:08:08 GMT 2024","2406","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Sun Sep 22 18:08:07 GMT 2024","Sun Sep 22 18:08:09 GMT 2024","1591","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Sun Sep 22 18:08:02 GMT 2024","Sun Sep 22 18:08:06 GMT 2024","3521","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Sun Sep 22 18:08:06 GMT 2024","Sun Sep 22 18:08:06 GMT 2024","453","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"failed","Sun Sep 22 18:08:05 GMT 2024","Sun Sep 22 18:08:06 GMT 2024","433","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sun Sep 22 18:08:02 GMT 2024","Sun Sep 22 18:08:05 GMT 2024","2753","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sun Sep 22 18:08:09 GMT 2024","Sun Sep 22 18:08:11 GMT 2024","2032","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
