"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 18:06:54 GMT 2024","Sat Jun 08 18:06:57 GMT 2024","2665","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sat Jun 08 18:07:01 GMT 2024","Sat Jun 08 18:07:03 GMT 2024","1785","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sat Jun 08 18:06:59 GMT 2024","Sat Jun 08 18:07:00 GMT 2024","1087","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Sat Jun 08 18:06:57 GMT 2024","Sat Jun 08 18:06:59 GMT 2024","1903","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Sat Jun 08 18:06:59 GMT 2024","Sat Jun 08 18:06:59 GMT 2024","341","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sat Jun 08 18:06:54 GMT 2024","Sat Jun 08 18:06:59 GMT 2024","4475","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sat Jun 08 18:07:00 GMT 2024","Sat Jun 08 18:07:01 GMT 2024","1288","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Sat Jun 08 18:06:58 GMT 2024","Sat Jun 08 18:06:59 GMT 2024","357","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Sat Jun 08 18:06:58 GMT 2024","Sat Jun 08 18:06:58 GMT 2024","353","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Sat Jun 08 18:06:54 GMT 2024","Sat Jun 08 18:06:58 GMT 2024","3459","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
