"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 18:01:52 GMT 2024","Tue Feb 13 18:01:56 GMT 2024","3855","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Tue Feb 13 18:02:00 GMT 2024","Tue Feb 13 18:02:01 GMT 2024","1911","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Tue Feb 13 18:01:56 GMT 2024","Tue Feb 13 18:02:00 GMT 2024","3542","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Tue Feb 13 18:01:55 GMT 2024","Tue Feb 13 18:01:57 GMT 2024","2092","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Tue Feb 13 18:01:54 GMT 2024","Tue Feb 13 18:01:55 GMT 2024","515","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Tue Feb 13 18:01:52 GMT 2024","Tue Feb 13 18:01:54 GMT 2024","2171","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Tue Feb 13 18:01:55 GMT 2024","Tue Feb 13 18:01:55 GMT 2024","492","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Tue Feb 13 18:01:55 GMT 2024","Tue Feb 13 18:01:56 GMT 2024","514","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Tue Feb 13 18:01:52 GMT 2024","Tue Feb 13 18:01:55 GMT 2024","2905","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Tue Feb 13 18:02:01 GMT 2024","Tue Feb 13 18:02:04 GMT 2024","2282","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
