"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 23 18:01:24 GMT 2023","Sun Jul 23 18:01:24 GMT 2023","189","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sun Jul 23 18:01:20 GMT 2023","Sun Jul 23 18:01:23 GMT 2023","3158","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Sun Jul 23 18:01:23 GMT 2023","Sun Jul 23 18:01:23 GMT 2023","218","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sun Jul 23 18:01:24 GMT 2023","Sun Jul 23 18:01:24 GMT 2023","676","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Sun Jul 23 18:01:25 GMT 2023","Sun Jul 23 18:01:26 GMT 2023","1024","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sun Jul 23 18:01:23 GMT 2023","Sun Jul 23 18:01:25 GMT 2023","1153","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Sun Jul 23 18:01:23 GMT 2023","Sun Jul 23 18:01:23 GMT 2023","244","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Sun Jul 23 18:01:20 GMT 2023","Sun Jul 23 18:01:23 GMT 2023","2713","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Sun Jul 23 18:01:20 GMT 2023","Sun Jul 23 18:01:24 GMT 2023","3506","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sun Jul 23 18:01:24 GMT 2023","Sun Jul 23 18:01:25 GMT 2023","853","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
