"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","970","verify that delete space successfully","Setel Regression Suite","Wed Mar 05 18:11:06 GMT 2025","passed","Wed Mar 05 18:11:07 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","2653","verify that delete folder successfully","Setel Regression Suite","Wed Mar 05 18:11:02 GMT 2025","passed","Wed Mar 05 18:11:05 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","317","verify that get list successfully","Setel Regression Suite","Wed Mar 05 18:11:05 GMT 2025","failed","Wed Mar 05 18:11:05 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","2042","verify that create list successfully","Setel Regression Suite","Wed Mar 05 18:11:02 GMT 2025","failed","Wed Mar 05 18:11:04 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","1467","get folder successfully","Setel Regression Suite","Wed Mar 05 18:11:05 GMT 2025","passed","Wed Mar 05 18:11:06 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","1314","verify that get space successfully","Setel Regression Suite","Wed Mar 05 18:11:07 GMT 2025","passed","Wed Mar 05 18:11:08 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","3202","verify that create space successfully","Setel Regression Suite","Wed Mar 05 18:11:02 GMT 2025","passed","Wed Mar 05 18:11:06 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","2387","verify that update space successfully","Setel Regression Suite","Wed Mar 05 18:11:08 GMT 2025","passed","Wed Mar 05 18:11:10 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","336","verify that delete list successfully","Setel Regression Suite","Wed Mar 05 18:11:04 GMT 2025","failed","Wed Mar 05 18:11:05 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","318","verify that update list successfully","Setel Regression Suite","Wed Mar 05 18:11:05 GMT 2025","failed","Wed Mar 05 18:11:05 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
