"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 18:08:43 GMT 2024","Fri Aug 02 18:08:46 GMT 2024","2453","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Fri Aug 02 18:08:36 GMT 2024","Fri Aug 02 18:08:39 GMT 2024","2221","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Fri Aug 02 18:08:39 GMT 2024","Fri Aug 02 18:08:39 GMT 2024","514","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Fri Aug 02 18:08:40 GMT 2024","Fri Aug 02 18:08:42 GMT 2024","1248","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Fri Aug 02 18:08:40 GMT 2024","Fri Aug 02 18:08:40 GMT 2024","532","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Fri Aug 02 18:08:40 GMT 2024","Fri Aug 02 18:08:43 GMT 2024","3536","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Fri Aug 02 18:08:42 GMT 2024","Fri Aug 02 18:08:43 GMT 2024","1806","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Fri Aug 02 18:08:36 GMT 2024","Fri Aug 02 18:08:40 GMT 2024","3870","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Fri Aug 02 18:08:37 GMT 2024","Fri Aug 02 18:08:40 GMT 2024","3440","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Fri Aug 02 18:08:39 GMT 2024","Fri Aug 02 18:08:40 GMT 2024","509","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
