"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1169","verify that get space successfully","Setel Regression Suite","Thu Dec 05 18:09:30 GMT 2024","passed","Thu Dec 05 18:09:31 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","312","verify that get list successfully","Setel Regression Suite","Thu Dec 05 18:09:27 GMT 2024","failed","Thu Dec 05 18:09:27 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","318","verify that delete list successfully","Setel Regression Suite","Thu Dec 05 18:09:26 GMT 2024","failed","Thu Dec 05 18:09:27 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","1477","verify that update space successfully","Setel Regression Suite","Thu Dec 05 18:09:31 GMT 2024","passed","Thu Dec 05 18:09:33 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","2501","verify that delete folder successfully","Setel Regression Suite","Thu Dec 05 18:09:24 GMT 2024","passed","Thu Dec 05 18:09:27 GMT 2024","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","2941","verify that create space successfully","Setel Regression Suite","Thu Dec 05 18:09:24 GMT 2024","passed","Thu Dec 05 18:09:27 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","1941","verify that create list successfully","Setel Regression Suite","Thu Dec 05 18:09:24 GMT 2024","failed","Thu Dec 05 18:09:26 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","300","verify that update list successfully","Setel Regression Suite","Thu Dec 05 18:09:27 GMT 2024","failed","Thu Dec 05 18:09:27 GMT 2024","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","1367","get folder successfully","Setel Regression Suite","Thu Dec 05 18:09:27 GMT 2024","passed","Thu Dec 05 18:09:28 GMT 2024","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","2664","verify that delete space successfully","Setel Regression Suite","Thu Dec 05 18:09:27 GMT 2024","passed","Thu Dec 05 18:09:30 GMT 2024","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
