"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 13 18:01:17 GMT 2023","Wed Dec 13 18:01:17 GMT 2023","205","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Wed Dec 13 18:01:19 GMT 2023","Wed Dec 13 18:01:20 GMT 2023","945","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Wed Dec 13 18:01:15 GMT 2023","Wed Dec 13 18:01:17 GMT 2023","2265","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Wed Dec 13 18:01:15 GMT 2023","Wed Dec 13 18:01:17 GMT 2023","1943","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Wed Dec 13 18:01:18 GMT 2023","Wed Dec 13 18:01:18 GMT 2023","624","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Wed Dec 13 18:01:18 GMT 2023","Wed Dec 13 18:01:18 GMT 2023","198","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Wed Dec 13 18:01:15 GMT 2023","Wed Dec 13 18:01:18 GMT 2023","2520","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Wed Dec 13 18:01:17 GMT 2023","Wed Dec 13 18:01:18 GMT 2023","967","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Wed Dec 13 18:01:17 GMT 2023","Wed Dec 13 18:01:18 GMT 2023","239","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Wed Dec 13 18:01:18 GMT 2023","Wed Dec 13 18:01:19 GMT 2023","790","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
