"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 24 18:10:11 GMT 2024","Thu Oct 24 18:10:11 GMT 2024","398","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Thu Oct 24 18:10:08 GMT 2024","Thu Oct 24 18:10:11 GMT 2024","2668","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Thu Oct 24 18:10:11 GMT 2024","Thu Oct 24 18:10:11 GMT 2024","327","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"failed","Thu Oct 24 18:10:10 GMT 2024","Thu Oct 24 18:10:11 GMT 2024","353","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Thu Oct 24 18:10:08 GMT 2024","Thu Oct 24 18:10:10 GMT 2024","2042","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Thu Oct 24 18:10:14 GMT 2024","Thu Oct 24 18:10:17 GMT 2024","3585","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Thu Oct 24 18:10:11 GMT 2024","Thu Oct 24 18:10:12 GMT 2024","937","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Thu Oct 24 18:10:11 GMT 2024","Thu Oct 24 18:10:12 GMT 2024","1412","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Thu Oct 24 18:10:12 GMT 2024","Thu Oct 24 18:10:14 GMT 2024","1272","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Thu Oct 24 18:10:08 GMT 2024","Thu Oct 24 18:10:11 GMT 2024","3154","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
