"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 03 18:01:57 GMT 2023","Sun Dec 03 18:01:59 GMT 2023","2068","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Sun Dec 03 18:02:02 GMT 2023","Sun Dec 03 18:02:03 GMT 2023","1535","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"failed","Sun Dec 03 18:02:00 GMT 2023","Sun Dec 03 18:02:00 GMT 2023","207","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sun Dec 03 18:02:00 GMT 2023","Sun Dec 03 18:02:01 GMT 2023","1015","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Sun Dec 03 18:02:00 GMT 2023","Sun Dec 03 18:02:00 GMT 2023","213","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"failed","Sun Dec 03 18:02:00 GMT 2023","Sun Dec 03 18:02:00 GMT 2023","200","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sun Dec 03 18:01:57 GMT 2023","Sun Dec 03 18:02:00 GMT 2023","2535","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sun Dec 03 18:02:01 GMT 2023","Sun Dec 03 18:02:02 GMT 2023","822","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Sun Dec 03 18:01:57 GMT 2023","Sun Dec 03 18:02:00 GMT 2023","2746","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sun Dec 03 18:02:00 GMT 2023","Sun Dec 03 18:02:01 GMT 2023","582","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
