"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 11 18:09:19 GMT 2024","Sun Aug 11 18:09:20 GMT 2024","467","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sun Aug 11 18:09:21 GMT 2024","Sun Aug 11 18:09:23 GMT 2024","1556","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Sun Aug 11 18:09:16 GMT 2024","Sun Aug 11 18:09:19 GMT 2024","2821","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Sun Aug 11 18:09:23 GMT 2024","Sun Aug 11 18:09:25 GMT 2024","2138","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sun Aug 11 18:09:19 GMT 2024","Sun Aug 11 18:09:21 GMT 2024","1730","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Sun Aug 11 18:09:16 GMT 2024","Sun Aug 11 18:09:19 GMT 2024","2234","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Sun Aug 11 18:09:19 GMT 2024","Sun Aug 11 18:09:19 GMT 2024","464","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Sun Aug 11 18:09:16 GMT 2024","Sun Aug 11 18:09:20 GMT 2024","3582","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Sun Aug 11 18:09:20 GMT 2024","Sun Aug 11 18:09:20 GMT 2024","452","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sun Aug 11 18:09:20 GMT 2024","Sun Aug 11 18:09:21 GMT 2024","1098","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
