"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 18:08:16 GMT 2024","Mon Aug 05 18:08:20 GMT 2024","3263","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Mon Aug 05 18:08:12 GMT 2024","Mon Aug 05 18:08:13 GMT 2024","1533","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Mon Aug 05 18:08:14 GMT 2024","Mon Aug 05 18:08:15 GMT 2024","1040","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Mon Aug 05 18:08:08 GMT 2024","Mon Aug 05 18:08:10 GMT 2024","2178","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Mon Aug 05 18:08:11 GMT 2024","Mon Aug 05 18:08:11 GMT 2024","426","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Mon Aug 05 18:08:08 GMT 2024","Mon Aug 05 18:08:14 GMT 2024","6052","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Mon Aug 05 18:08:11 GMT 2024","Mon Aug 05 18:08:11 GMT 2024","396","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"failed","Mon Aug 05 18:08:10 GMT 2024","Mon Aug 05 18:08:11 GMT 2024","421","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Mon Aug 05 18:08:08 GMT 2024","Mon Aug 05 18:08:12 GMT 2024","3869","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"passed","Mon Aug 05 18:08:15 GMT 2024","Mon Aug 05 18:08:16 GMT 2024","1343","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
