"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 18:01:52 GMT 2024","Sun May 19 18:01:55 GMT 2024","2743","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sun May 19 18:01:44 GMT 2024","Sun May 19 18:01:48 GMT 2024","4191","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sun May 19 18:01:50 GMT 2024","Sun May 19 18:01:52 GMT 2024","2052","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Sun May 19 18:01:48 GMT 2024","Sun May 19 18:01:48 GMT 2024","575","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sun May 19 18:01:47 GMT 2024","Sun May 19 18:01:49 GMT 2024","2227","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Sun May 19 18:01:48 GMT 2024","Sun May 19 18:01:50 GMT 2024","1561","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Sun May 19 18:01:44 GMT 2024","Sun May 19 18:01:46 GMT 2024","2204","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Sun May 19 18:01:47 GMT 2024","Sun May 19 18:01:48 GMT 2024","571","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sun May 19 18:01:44 GMT 2024","Sun May 19 18:01:47 GMT 2024","2936","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Sun May 19 18:01:46 GMT 2024","Sun May 19 18:01:47 GMT 2024","589","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
