"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 18:01:47 GMT 2023","Tue Aug 15 18:01:47 GMT 2023","795","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Tue Aug 15 18:01:46 GMT 2023","Tue Aug 15 18:01:47 GMT 2023","359","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Tue Aug 15 18:01:43 GMT 2023","Tue Aug 15 18:01:46 GMT 2023","3417","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Tue Aug 15 18:01:43 GMT 2023","Tue Aug 15 18:01:46 GMT 2023","2953","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"failed","Tue Aug 15 18:01:46 GMT 2023","Tue Aug 15 18:01:46 GMT 2023","329","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Tue Aug 15 18:01:46 GMT 2023","Tue Aug 15 18:01:48 GMT 2023","1373","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Tue Aug 15 18:01:49 GMT 2023","Tue Aug 15 18:01:50 GMT 2023","1585","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Tue Aug 15 18:01:43 GMT 2023","Tue Aug 15 18:01:47 GMT 2023","4003","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Tue Aug 15 18:01:48 GMT 2023","Tue Aug 15 18:01:49 GMT 2023","1308","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Tue Aug 15 18:01:46 GMT 2023","Tue Aug 15 18:01:46 GMT 2023","393","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
