"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2517","verify that delete folder successfully","Setel Regression Suite","Mon Mar 31 18:11:30 GMT 2025","passed","Mon Mar 31 18:11:33 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","4718","get folder successfully","Setel Regression Suite","Mon Mar 31 18:11:33 GMT 2025","passed","Mon Mar 31 18:11:37 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","3197","verify that create space successfully","Setel Regression Suite","Mon Mar 31 18:11:30 GMT 2025","passed","Mon Mar 31 18:11:33 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","362","verify that update list successfully","Setel Regression Suite","Mon Mar 31 18:11:33 GMT 2025","failed","Mon Mar 31 18:11:33 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","959","verify that delete space successfully","Setel Regression Suite","Mon Mar 31 18:11:33 GMT 2025","passed","Mon Mar 31 18:11:34 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","332","verify that get list successfully","Setel Regression Suite","Mon Mar 31 18:11:33 GMT 2025","failed","Mon Mar 31 18:11:33 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","334","verify that delete list successfully","Setel Regression Suite","Mon Mar 31 18:11:32 GMT 2025","failed","Mon Mar 31 18:11:33 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","1857","verify that update space successfully","Setel Regression Suite","Mon Mar 31 18:11:36 GMT 2025","passed","Mon Mar 31 18:11:38 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","1958","verify that create list successfully","Setel Regression Suite","Mon Mar 31 18:11:30 GMT 2025","failed","Mon Mar 31 18:11:32 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","1622","verify that get space successfully","Setel Regression Suite","Mon Mar 31 18:11:34 GMT 2025","passed","Mon Mar 31 18:11:36 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
