"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","verify that update list successfully","Setel Regression Suite","Fri Apr 11 18:11:12 GMT 2025","failed","Fri Apr 11 18:11:12 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","2981","verify that create space successfully","Setel Regression Suite","Fri Apr 11 18:11:09 GMT 2025","passed","Fri Apr 11 18:11:12 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","289","verify that get list successfully","Setel Regression Suite","Fri Apr 11 18:11:11 GMT 2025","failed","Fri Apr 11 18:11:12 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","1294","verify that get space successfully","Setel Regression Suite","Fri Apr 11 18:11:14 GMT 2025","passed","Fri Apr 11 18:11:15 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","1777","verify that delete space successfully","Setel Regression Suite","Fri Apr 11 18:11:12 GMT 2025","passed","Fri Apr 11 18:11:14 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","1487","verify that update space successfully","Setel Regression Suite","Fri Apr 11 18:11:15 GMT 2025","passed","Fri Apr 11 18:11:17 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","1965","verify that create list successfully","Setel Regression Suite","Fri Apr 11 18:11:09 GMT 2025","failed","Fri Apr 11 18:11:11 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","2604","verify that delete folder successfully","Setel Regression Suite","Fri Apr 11 18:11:09 GMT 2025","passed","Fri Apr 11 18:11:12 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","289","verify that delete list successfully","Setel Regression Suite","Fri Apr 11 18:11:11 GMT 2025","failed","Fri Apr 11 18:11:11 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","1557","get folder successfully","Setel Regression Suite","Fri Apr 11 18:11:12 GMT 2025","passed","Fri Apr 11 18:11:13 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
