"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 03 18:01:11 GMT 2024","Sun Mar 03 18:01:11 GMT 2024","399","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Sun Mar 03 18:01:08 GMT 2024","Sun Mar 03 18:01:11 GMT 2024","3530","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"passed","Sun Mar 03 18:01:12 GMT 2024","Sun Mar 03 18:01:14 GMT 2024","2817","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Sun Mar 03 18:01:08 GMT 2024","Sun Mar 03 18:01:11 GMT 2024","2728","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Sun Mar 03 18:01:08 GMT 2024","Sun Mar 03 18:01:10 GMT 2024","2086","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Sun Mar 03 18:01:14 GMT 2024","Sun Mar 03 18:01:16 GMT 2024","1531","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"failed","Sun Mar 03 18:01:10 GMT 2024","Sun Mar 03 18:01:11 GMT 2024","463","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Sun Mar 03 18:01:11 GMT 2024","Sun Mar 03 18:01:11 GMT 2024","413","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Sun Mar 03 18:01:16 GMT 2024","Sun Mar 03 18:01:18 GMT 2024","1982","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Sun Mar 03 18:01:11 GMT 2024","Sun Mar 03 18:01:12 GMT 2024","1748","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
